model,display_name,first_failed_position,failed_task,failed_task_group
act_lang_B_100k,B 100k,3,stack_block,stack
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,1,rotate_blue_block_left,rotate
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,push_pink_block_left,push
act_lang_B_100k,B 100k,3,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,4,push_into_drawer,drawer
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,2,rotate_blue_block_right,rotate
act_lang_B_100k,B 100k,1,push_into_drawer,drawer
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,3,stack_block,stack
act_lang_B_100k,B 100k,1,push_blue_block_right,push
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,2,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,push_red_block_right,push
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,push_blue_block_right,push
act_lang_B_100k,B 100k,1,rotate_pink_block_left,rotate
act_lang_B_100k,B 100k,4,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,2,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,push_pink_block_left,push
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,3,turn_on_lightbulb,light
act_lang_B_100k,B 100k,2,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,push_red_block_right,push
act_lang_B_100k,B 100k,1,turn_off_led,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,4,stack_block,stack
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,3,turn_on_led,light
act_lang_B_100k,B 100k,2,push_red_block_left,push
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,push_into_drawer,drawer
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,rotate_blue_block_left,rotate
act_lang_B_100k,B 100k,3,turn_on_led,light
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,2,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,3,move_slider_right,slider
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,rotate_pink_block_left,rotate
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,2,move_slider_left,slider
act_lang_B_100k,B 100k,2,move_slider_left,slider
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,2,stack_block,stack
act_lang_B_100k,B 100k,2,move_slider_right,slider
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,2,push_blue_block_left,push
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,rotate_pink_block_left,rotate
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,rotate_pink_block_left,rotate
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,2,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,2,stack_block,stack
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,turn_off_led,light
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,2,push_red_block_left,push
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,2,move_slider_left,slider
act_lang_B_100k,B 100k,2,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,rotate_blue_block_left,rotate
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,2,stack_block,stack
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,push_blue_block_right,push
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,push_blue_block_right,push
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,3,push_pink_block_right,push
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,turn_off_led,light
act_lang_B_100k,B 100k,1,lift_red_block_table,lift
act_lang_B_100k,B 100k,2,rotate_blue_block_right,rotate
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,3,turn_on_lightbulb,light
act_lang_B_100k,B 100k,3,lift_red_block_table,lift
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,2,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,lift_red_block_table,lift
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,push_pink_block_right,push
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,2,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,2,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,5,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,2,move_slider_right,slider
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,rotate_blue_block_right,rotate
act_lang_B_100k,B 100k,2,turn_on_lightbulb,light
act_lang_B_100k,B 100k,1,turn_off_led,light
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,push_red_block_right,push
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,push_blue_block_right,push
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,move_slider_right,slider
act_lang_B_100k,B 100k,2,lift_red_block_slider,lift
act_lang_B_100k,B 100k,2,lift_red_block_table,lift
act_lang_B_100k,B 100k,2,move_slider_right,slider
act_lang_B_100k,B 100k,2,open_drawer,drawer
act_lang_B_100k,B 100k,1,open_drawer,drawer
act_lang_B_100k,B 100k,2,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,push_red_block_right,push
act_lang_B_100k,B 100k,1,push_pink_block_left,push
act_lang_B_100k,B 100k,1,push_red_block_right,push
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,rotate_blue_block_right,rotate
act_lang_B_100k,B 100k,3,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_off_lightbulb,light
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,2,turn_off_led,light
act_lang_B_100k,B 100k,1,push_pink_block_left,push
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,move_slider_right,slider
act_lang_B_100k,B 100k,2,turn_off_lightbulb,light
act_lang_B_100k,B 100k,3,lift_blue_block_table,lift
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,2,turn_off_lightbulb,light
act_lang_B_100k,B 100k,2,lift_red_block_table,lift
act_lang_B_100k,B 100k,1,lift_blue_block_table,lift
act_lang_B_100k,B 100k,1,push_red_block_left,push
act_lang_B_100k,B 100k,2,move_slider_right,slider
act_lang_B_100k,B 100k,1,push_blue_block_right,push
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,move_slider_left,slider
act_lang_B_100k,B 100k,1,rotate_pink_block_right,rotate
act_lang_B_100k,B 100k,1,lift_pink_block_table,lift
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,turn_off_led,light
act_lang_B_100k,B 100k,1,lift_blue_block_slider,lift
act_lang_B_100k,B 100k,2,lift_pink_block_table,lift
act_lang_B_100k,B 100k,2,rotate_red_block_left,rotate
act_lang_B_100k,B 100k,2,stack_block,stack
act_lang_B_100k,B 100k,3,turn_on_lightbulb,light
act_lang_B_100k,B 100k,2,turn_on_led,light
act_lang_B_100k,B 100k,1,rotate_pink_block_left,rotate
act_lang_B_100k,B 100k,3,lift_red_block_table,lift
act_lang_B_100k,B 100k,1,lift_red_block_table,lift
act_lang_B_100k,B 100k,1,lift_red_block_slider,lift
act_lang_B_100k,B 100k,1,turn_on_led,light
act_lang_B_100k,B 100k,1,lift_pink_block_slider,lift
act_lang_B_100k,B 100k,1,push_blue_block_left,push
act_lang_B_100k,B 100k,1,turn_on_lightbulb,light
act_lang_B_100k,B 100k,4,push_into_drawer,drawer
act_lang_B_100k,B 100k,1,rotate_red_block_right,rotate
act_lang_B_100k,B 100k,1,push_into_drawer,drawer
